tweeter,type
motherjones,MEDIA
mothernaturenet,OTHER
moveon,SOCMOV
msnbc,MEDIA
msnbc_business,MEDIA
msnbc_health,MEDIA
msnbc_politics,MEDIA
msnbc_us,MEDIA
msnbc_world,MEDIA
mstrlight,SOCMOV
myfox9,OTHER
myfoxtampabay,OTHER
myfwc,OTHER
nalco_news,OTHER
nashvilleopera,OTHER
natgeochannel,OTHER
natgeoscoop,OTHER
natgeosociety,OTHER
nationalguard,GOV
nationalreset,OTHER
natlsecuritycnn,MEDIA
natnewswatch,OTHER
nature_org,SOCMOV
nbc17,OTHER
nbcchicago,OTHER
nbcla,MEDIA
nbcnews,OTHER
nbcnewscrew,OTHER
nbcnightlynews,OTHER
nedpotterabc,OTHER
neptunecanada,OTHER
netroots_nation,OTHER
newportvet,SOCMOV
newsaudit,OTHER
newsauditor,OTHER
newscasterstew,OTHER
newshour,SOCMOV
newshourartbeat,OTHER
newshourglobal,OTHER
newsjunkiepost,OTHER
newsongreen,OTHER
newtimesstreet,OTHER
newworldliberty,OTHER
newyorkpost,OTHER
nffcnnr,OTHER
nmfnytt,OTHER
nmhnews,OTHER
nnlmpnr,OTHER
nnlmscr,OTHER
nola_eats,OTHER
nolanews,MEDIA
nolanotes,OTHER
nolatalk,OTHER
nonprofitorgs,SOCMOV
northfox_wind,OTHER
novapbs,OTHER
novaris,OTHER
nprnews,OTHER
nprpolitics,OTHER
nprscience,OTHER
nrdc,SOCMOV
nrdc_af,SOCMOV
nrdcnews,MEDIA
nwcn,MEDIA
nwf,SOCMOV
nyccyn,OTHER
nycsidewalker,OTHER
nydailynews,MEDIA
nydnnews,MEDIA
nyphilanthropy,OTHER
nyt_jenpreston,OTHER
nytgraphics,OTHER
nytimes,MEDIA
nytimesphoto,MEDIA
nytjim,MEDIA
ocean_news,MEDIA
oceana,SOCMOV
oceanportal,OTHER
oceansolutions,OTHER
oceanwire,SOCMOV
ofa_la,SOCMOV
oil_leaks,SOCMOV
oilflorida,OTHER
oilreport,MEDIA
oilreporter,OTHER
oilspillnews,OTHER
onearthmag,MEDIA
opensociety,OTHER
oriongrassroots,SOCMOV
oxfam,OTHER
oxfamamerica,SOCMOV
patagonia,CORP
pbpost,MEDIA
pbs,OTHER
pbs39ftwayne,OTHER
pbsmediashift,OTHER
pbsnature,OTHER
pbsneedtoknow,OTHER
pcousteau,CELEB
pcouzon,OTHER
pdandrewcbs,OTHER
pdjmoo,SOCMOV
pescalune,OTHER
peternbcnews,MEDIA
phctinfojpn,OTHER
phwp_online,OTHER
pipil4life,OTHER
planet_forward,SOCMOV
planetgreen,SOCMOV
politico,MEDIA
politicolnews,MEDIA
politicususa,OTHER
postpolitics,MEDIA
pressregister,OTHER
prestoncnn,OTHER
prisonreformmvt,SOCMOV
progressflorida,SOCMOV
pronlinenews,OTHER
propublica,SOCMOV
protecttheocean,OTHER
proudamericans,OTHER
public_citizen,OTHER
publicadvocacy,OTHER
rainforestmoon,OTHER
ramcnn,OTHER
raviagrawalcnn,OTHER
repoweramerica,SOCMOV
reutersgreenbiz,MEDIA
richardvirgen,OTHER
robmarcianocnn,OTHER
rosemarycnn,MEDIA
russertxm_nbc,OTHER
ryannewyork,OTHER
sanjayguptacnn,OTHER
sarahhoyecnn,OTHER
seattletimes,MEDIA
sejorg,SOCMOV
senate_gops,GOV
senatormenendez,GOV
senatorsanders,GOV
sfkarenmc,OTHER
sflpolitics,OTHER
sfoxx,OTHER
shhh527,OTHER
shirleyhungcnn,OTHER
sierra_club,SOCMOV
sierra_magazine,MEDIA
skytruth,SOCMOV
smdindustries,OTHER
socialistviews,SOCMOV
sophiabush,OTHER
spillbabyspill,SOCMOV
staciacnn,OTHER
surfrider,SOCMOV
susanmcp1,OTHER
sustainablog,OTHER
tahdeetz,OTHER
tampabaycom,MEDIA
tannersdad,OTHER
taylorcnn,OTHER
tednews,MEDIA
tedxoilspill,OTHER
tehranweekly,MEDIA
the_gambit,MEDIA
theatlantic,MEDIA
theatlanticwire,MEDIA
theclimatedesk,SOCMOV
thecwexperience,OTHER
thedailybeast,MEDIA
thedailyocean,MEDIA
theeconomist,MEDIA
thegreenpagesbc,OTHER
